"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"uppdateraexpomedapotek-request","uppdateraexpomedapotek-request","","","",0,*,"","","","null {[]} {[]}
","UppdateraExpoMedApotek — Request","Logisk modell för begäran i UppdateraExpoMedApotek
(urn:riv:se.apotekensservice:expo:UppdateraExpoMedApotekResponder:6, UppdateraExpoMedApotekRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"uppdateraexpomedapotek-request.orgTypGSL","uppdateraexpomedapotek-request.orgTypGSL","","","",1,1,"","","","boolean {[]} {[]}
","orgTypGSL","Kod GSL som beskriver typ av expeditionsställe. Alla expeditionställen som säljer sortimentet på 80-listan (t ex shopar) ska ha flaggan satt. ""General Sales list"" - även kallad för ""80-listan"", enbart varor som ej är receptbelagda och som ingår i 80-sortimentet. Alla expeditionställen som säljer sortimentet på 80-listan (t ex shopar) ska ha flaggan satt.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.orgTypGSL",1,1,"",""
"uppdateraexpomedapotek-request.orgTypSA","uppdateraexpomedapotek-request.orgTypSA","","","",1,1,"","","","boolean {[]} {[]}
","orgTypSA","Kod SA som beskriver typ av expeditionsställe. Sjukhusapotek - apotek som ger service till slutenvårdsenheter.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.orgTypSA",1,1,"",""
"uppdateraexpomedapotek-request.orgTypTILV","uppdateraexpomedapotek-request.orgTypTILV","","","",1,1,"","","","boolean {[]} {[]}
","orgTypTILV","Kod TILV som beskriver typ av expeditionsställe. Enhet som på beställning tillverkar individanpassade specifika läkemedel.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.orgTypTILV",1,1,"",""
"uppdateraexpomedapotek-request.postAdress","uppdateraexpomedapotek-request.postAdress","","","",1,1,"","","","string {[]} {[]}
","postAdress","Expeditionsställets postAdress.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.postAdress",1,1,"",""
"uppdateraexpomedapotek-request.postNr","uppdateraexpomedapotek-request.postNr","","","",1,1,"","","","string {[]} {[]}
","postNr","Expeditionsställets postNr.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.postNr",1,1,"",""
"uppdateraexpomedapotek-request.postort","uppdateraexpomedapotek-request.postort","","","",1,1,"","","","string {[]} {[]}
","postort","Expeditionsställets postort.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.postort",1,1,"",""
"uppdateraexpomedapotek-request.recepturtelefon","uppdateraexpomedapotek-request.recepturtelefon","","","",0,1,"","","","string {[]} {[]}
","recepturtelefon","Expeditionsställets receptur telefonnummer. Om termen eRecept och/eller eReceptDjur är satt så är termerna kortNamn och recepturtelefon obligatoriska.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.recepturtelefon",0,1,"",""
"uppdateraexpomedapotek-request.slutDatum","uppdateraexpomedapotek-request.slutDatum","","","",0,1,"","","","dateTime {[]} {[]}
","slutDatum","Datum för avslut av verksamhet.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.slutDatum",0,1,"",""
"uppdateraexpomedapotek-request.startDatum","uppdateraexpomedapotek-request.startDatum","","","",1,1,"","","","dateTime {[]} {[]}
","startDatum","Datum för start av verksamhet. Det datum som allmänheten kan använda Apoteket.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.startDatum",1,1,"",""
"uppdateraexpomedapotek-request.tidigareGlnKod","uppdateraexpomedapotek-request.tidigareGlnKod","","","",0,1,"","","","string {[]} {[]}
","tidigareGlnKod","Expeditionsställets tidigare ägares GLN.","","","","","","","","","",,,,,"",,,,"uppdateraexpomedapotek-request.tidigareGlnKod",0,1,"",""
