"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"receiveehrextract-request","receiveehrextract-request","","","",0,*,"","","","null {[]} {[]}
","ReceiveEhrExtract — Request","Logisk modell för begäran i ReceiveEhrExtract
(urn:riv:ehr:patientsummary:ReceiveEhrExtractResponder:1, ReceiveEhrExtractType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.feeder-audit.id","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.feeder-audit.extension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.feeder-audit.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.feeder-audit.committer","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.committer","","","",1,1,"","","","Identifier {[]} {[]}
","committer","committer","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.committer",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.feeder-audit.ehr-system","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.ehr_system","","","",1,1,"","","","Identifier {[]} {[]}
","ehr_system","ehr_system","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.ehr_system",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.feeder-audit.previous-version","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.previous_version","","","",0,1,"","","","Identifier {[]} {[]}
","previous_version","previous_version","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.previous_version",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.feeder-audit.reason-for-revision","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.reason_for_revision","","","",0,1,"","","","CodeableConcept {[]} {[]}
","reason_for_revision","reason_for_revision","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.reason_for_revision",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.feeder-audit.time-committed","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.time_committed","","","",1,1,"","","","dateTime {[]} {[]}
","time_committed","time_committed","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.time_committed",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.feeder-audit.version-set-id","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.version_set_id","","","",0,1,"","","","Identifier {[]} {[]}
","version_set_id","version_set_id","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.version_set_id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.feeder-audit.version-status","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.version_status","","","",0,1,"","","","code {[]} {[]}
","version_status","version_status","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.feeder_audit.version_status",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.emphasis","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.emphasis","","","",0,1,"","","","CodeableConcept {[]} {[]}
","emphasis","emphasis","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.emphasis",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.item-category","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.item_category","","","",0,1,"","","","code {[]} {[]}
","item_category","item_category","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.item_category",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.obs-time","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.obs_time","","","",0,1,"","","","Period {[]} {[]}
","obs_time","obs_time","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.obs_time",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.cluster","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.cluster","","","",0,1,"","","","BackboneElement {[]} {[]}
","cluster","Element som bara finns när instansen är av subtypen CLUSTER (xsi:type).","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.cluster",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.cluster.id","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.cluster.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.cluster.extension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.cluster.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.cluster.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.cluster.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.cluster.structure-type","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.cluster.structure_type","","","",1,1,"","","","code {[]} {[]}
","structure_type","structure_type","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.cluster.structure_type",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.cluster.parts","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.cluster.parts","","","",0,*,"","","","string {[]} {[]}
","parts"," (Rekursiv typ, ej utvecklad.)","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.cluster.parts",0,*,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.element","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.element","","","",0,1,"","","","BackboneElement {[]} {[]}
","element","Element som bara finns när instansen är av subtypen ELEMENT (xsi:type).","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.element",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.element.id","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.element.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.element.extension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.element.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.element.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.element.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.items.element.elementValue","receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.element.elementValue","","","",0,1,"","","","string {[]} {[]}
","elementValue"," (ISO 21090 ANY, polymorft värde, modellerat som string.) Heter value i schemat.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.items.element.elementValue",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.info-provider","receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider","","","",0,1,"","","","BackboneElement {[]} {[]}
","info_provider","The participation of an entity in the EHR.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.info-provider.id","receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.info-provider.extension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.info-provider.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.info-provider.function","receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.function","","","",0,1,"","","","CodeableConcept {[]} {[]}
","function","function","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.function",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.info-provider.healthcare-facility","receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.healthcare_facility","","","",0,1,"","","","Identifier {[]} {[]}
","healthcare_facility","healthcare_facility","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.healthcare_facility",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.info-provider.mode","receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.mode","","","",0,1,"","","","code {[]} {[]}
","mode","mode","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.mode",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.info-provider.performer","receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.performer","","","",1,1,"","","","Identifier {[]} {[]}
","performer","performer","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.performer",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.info-provider.service-setting","receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.service_setting","","","",0,1,"","","","CodeableConcept {[]} {[]}
","service_setting","service_setting","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.info_provider.service_setting",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.other-participations","receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations","","","",0,*,"","","","BackboneElement {[]} {[]}
","other_participations","The participation of an entity in the EHR.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.other-participations.id","receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.other-participations.extension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.other-participations.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.other-participations.function","receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.function","","","",0,1,"","","","CodeableConcept {[]} {[]}
","function","function","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.function",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.other-participations.healthcare-facility","receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.healthcare_facility","","","",0,1,"","","","Identifier {[]} {[]}
","healthcare_facility","healthcare_facility","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.healthcare_facility",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.other-participations.mode","receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.mode","","","",0,1,"","","","code {[]} {[]}
","mode","mode","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.mode",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.other-participations.performer","receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.performer","","","",1,1,"","","","Identifier {[]} {[]}
","performer","performer","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.performer",1,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.other-participations.service-setting","receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.service_setting","","","",0,1,"","","","CodeableConcept {[]} {[]}
","service_setting","service_setting","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.other_participations.service_setting",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.subject-of-information","receiveehrextract-request.ehr_extract.all_compositions.content.entry.subject_of_information","","","",0,1,"","","","BackboneElement {[]} {[]}
","subject_of_information","Identifies the relationship of a person to the subject of care. Specifically used in Entry.subject_of_information.","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.subject_of_information",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.subject-of-information.id","receiveehrextract-request.ehr_extract.all_compositions.content.entry.subject_of_information.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.subject-of-information.extension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.subject_of_information.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.subject-of-information.modifierExtension","receiveehrextract-request.ehr_extract.all_compositions.content.entry.subject_of_information.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.subject-of-information.party","receiveehrextract-request.ehr_extract.all_compositions.content.entry.subject_of_information.party","","","",0,1,"","","","Identifier {[]} {[]}
","party","party","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.subject_of_information.party",0,1,"",""
"receiveehrextract-request.ehr-extract.all-compositions.content.entry.subject-of-information.relationship","receiveehrextract-request.ehr_extract.all_compositions.content.entry.subject_of_information.relationship","","","",1,1,"","","","Attachment {[]} {[]}
","relationship","relationship","","","","","","","","","",,,,,"",,,,"receiveehrextract-request.ehr_extract.all_compositions.content.entry.subject_of_information.relationship",1,1,"",""
