"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaickeaktuellaordinationer","hamtaickeaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaIckeAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaIckeAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaIckeAktuellaOrdinationerResponder:6, HamtaIckeAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.administrator.anvandarId","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.administrator.anvandarId","","","",1,1,"","","","string {[]} {[]}
","anvandarId","Användar-id för administratören, eller id för databasjobbet, som uppdaterar en ordination.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.administrator.anvandarId",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.administrator.arbetsplats","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.administrator.arbetsplats","","","",1,1,"","","","string {[]} {[]}
","arbetsplats","Unik kod för identifiering av administratörens arbetsplats.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.administrator.arbetsplats",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.kommentar","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.kommentar","","","",0,1,"","","","string {[]} {[]}
","kommentar","Kommentar vid förändring, utsättning eller makulering av ordination. Obligatorisk parameter utom vid makulering med orsakskod annan än 4.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.kommentar",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.tidpunkt","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.tidpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","tidpunkt","Datum och tidpunkt då ny historikpost skapades.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.tidpunkt",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.typ","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.typ","","","",1,1,"","","","string {[]} {[]}
","typ","Anger vilken typ som avses. M =Makulering, U = Utsättning, K = Korrigerad, S = Spärrad, O = Utskrivet original.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forandring.typ",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forskrivarKommentar","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forskrivarKommentar","","","",0,1,"","","","string {[]} {[]}
","forskrivarKommentar","Förskrivarens kommentar till apoteket.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.forskrivarKommentar",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.harForandrats","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.harForandrats","","","",1,1,"","","","boolean {[]} {[]}
","harForandrats","Markering om ordinationen har ändrats av förskrivare eller farmaceut.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.harForandrats",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler","","","",1,1,"","","","BackboneElement {[]} {[]}
","helforpackningsregler","helforpackningsregler","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.ejTillatenSubstitution","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.ejTillatenSubstitution","","","",0,1,"","","","boolean {[]} {[]}
","ejTillatenSubstitution","Markering om förskriven vara ej får bytas ut enligt förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.ejTillatenSubstitution",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.forman","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.forman","","","",1,1,"","","","boolean {[]} {[]}
","forman","Förskrivarens uppgift om ordinationen ska innefattas i förmånen.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.forman",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.forskrivetAntalUttag","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.forskrivetAntalUttag","","","",1,1,"","","","integer {[]} {[]}
","forskrivetAntalUttag","Antal tillåtna uttag på ordinationen.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.forskrivetAntalUttag",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.forstaUttagFore","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.forstaUttagFore","","","",0,1,"","","","dateTime {[]} {[]}
","forstaUttagFore","Datum inom vilket första uttag av läkemedel måste göras. Sker inte någon expedition på receptet innan detta datum sätts hela ordinationen till utgången.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.forstaUttagFore",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.insattningstidpunkt","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.insattningstidpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","insattningstidpunkt","Datum när patienten skall påbörja intag.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.insattningstidpunkt",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall","","","",0,1,"","","","BackboneElement {[]} {[]}
","intervall","Absolut expeditionsintervall.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.expeditionsintervall","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.expeditionsintervall","","","",1,1,"","","","integer {[]} {[]}
","expeditionsintervall","Absolut expeditionsintervall. Av förskrivaren angiven kortaste tid mellan två expeditioner.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.expeditionsintervall",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.intervallenhet","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.intervallenhet","","","",1,1,"","","","string {[]} {[]}
","intervallenhet","Enhet för det absoluta expeditionsintervallet. Kan anges i dagar, veckor eller månader. Mn = Månader V = Veckor Dg = Dagar Obligatorisk parameter om Expeditionsintervall anges.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.intervall.intervallenhet",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.resterandeAntalUttag","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.resterandeAntalUttag","","","",1,1,"","","","integer {[]} {[]}
","resterandeAntalUttag","Kvarvarande antal uttag på ordinationen","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.resterandeAntalUttag",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.sistaGiltighetsdag","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.sistaGiltighetsdag","","","",0,1,"","","","dateTime {[]} {[]}
","sistaGiltighetsdag","Ordinationens sista giltighetsdag.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.sistaGiltighetsdag",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.slutexpedierad","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.slutexpedierad","","","",1,1,"","","","boolean {[]} {[]}
","slutexpedierad","Markering om farmaceut anser att ordinationen är slutexpedierad. Används då kvarvarande mängd är minde än minsta förpackningsstorlek för aktuell artikel.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.slutexpedierad",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.slutexpedieradAvFarmaceut","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.slutexpedieradAvFarmaceut","","","",0,1,"","","","boolean {[]} {[]}
","slutexpedieradAvFarmaceut","Farmaceut har markerat att ordinationen är slutexpedierad.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.helforpackningsregler.slutexpedieradAvFarmaceut",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.historisktOrdinationsId","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.historisktOrdinationsId","","","",0,1,"","","","string {[]} {[]}
","historisktOrdinationsId","Hänvisning till en eventuell historisk post av ordinationen. Alla historiska poster har tillståndsstatus Historik (211). En historisk post skapas exempelvis vid korrigering.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.historisktOrdinationsId",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.korrigerbar","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.korrigerbar","","","",0,1,"","","","boolean {[]} {[]}
","korrigerbar","Markering om ordinationen är korrigerbar.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.korrigerbar",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.leveransMeddelande","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.leveransMeddelande","","","",0,1,"","","","string {[]} {[]}
","leveransMeddelande","Leveransinformation om ordinationen skickas till ett ombud.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.leveransMeddelande",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering","","","",0,1,"","","","BackboneElement {[]} {[]}
","makulering","Information om eventuell historikskapande händelse (makluering). Endast en typ av historikskapande-information (makluering, förändring eller utsättning) kan förekomma.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal","","","",0,1,"","","","BackboneElement {[]} {[]}
","apotekspersonal","Apotekspersonal.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.anvandarId","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.anvandarId","","","",0,1,"","","","string {[]} {[]}
","anvandarId","Användar-id för farmaceut (legitimationskod) eller apotekspersonal (för- och efternamn) som uppdaterar en ordination. Användar-id är en övergångslösning fram tills alla apoteksaktörer har övergått till ORG-gränssnittet.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.anvandarId",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.apoteksId","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.apoteksId","","","",1,1,"","","","string {[]} {[]}
","apoteksId","Apoteks-id är en unik kod som definierar ett specifikt apotek tillhörande en specifik juridisk ägare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.apoteksId",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.befattningskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","Användarens befattningskod enligt HSA.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.befattningskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.efternamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Användarens efternamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.efternamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.fornamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Användarens förnamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.fornamn",0,1,"",""
