"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.modifierExtension","processcareencounter-request.careEncounter.performerRole.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.performerRoleId","processcareencounter-request.careEncounter.performerRole.performerRoleId","","","",0,1,"","","","Identifier {[]} {[]}
","Personens identitet av utförarrollen (HSA-id)","Lämnas tomt om vårdkontakten utförs av patienten själv eller annan person.
HSAid anges om utföraren är en vårdpersonal.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.performerRole.performerRoleId",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.code","processcareencounter-request.careEncounter.performerRole.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Utförarens roll","Baseras på HL7 RoleCode med OID 2.16.840.1.113883.5.111
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.performerRole.code",1,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit","processcareencounter-request.careEncounter.performerRole.careUnit","","","",0,1,"","","","BackboneElement {[]} {[]}
","Vårdenhet kopplad till utföraren","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.performerRole.careUnit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit.id","processcareencounter-request.careEncounter.performerRole.careUnit.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit.extension","processcareencounter-request.careEncounter.performerRole.careUnit.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit.modifierExtension","processcareencounter-request.careEncounter.performerRole.careUnit.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit.careUnitId","processcareencounter-request.careEncounter.performerRole.careUnit.careUnitId","","","",1,1,"","","","Identifier {[]} {[]}
","HSAid för PDL vårdenhet","Root: OID för HSA-id: 1.2.752.129.2.1.4.1
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.performerRole.careUnit.careUnitId",1,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit.name","processcareencounter-request.careEncounter.performerRole.careUnit.name","","","",0,1,"","","","string {[]} {[]}
","Vårdenhetens namn","Vårdenhetens namn","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.performerRole.careUnit.name",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver","","","",1,1,"","","","BackboneElement {[]} {[]}
","Vårdgivaren","Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.performerRole.careUnit.careGiver",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.id","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.extension","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.modifierExtension","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.careGiverId","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.careGiverId","","","",1,1,"","","","Identifier {[]} {[]}
","HSAid för vårdgivaren","Root: OID för HSA-id: 1.2.752.129.2.1.4.1
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.careGiverId",1,1,"",""
"processcareencounter-request","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.name","processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.name","","","",0,1,"","","","string {[]} {[]}
","Vårdgivarens namn","Vårdgivarens namn","","","","","","","","","",,,,,"",,,,"processcareencounter-request.careEncounter.performerRole.careUnit.careGiver.name",0,1,"",""
"processcareencounter-response","processcareencounter-response","processcareencounter-response","","","",0,*,"","","","null {[]} {[]}
","ProcessCareEncounter — Response","Logisk modell för responsen från tjänstekontraktet ProcessCareEncounter
(RIV-TA urn:riv:followup:processdevelopment:infections:ProcessCareEncounter:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"processcareencounter-response","processcareencounter-response.resultCode","processcareencounter-response.resultCode","","","",1,1,"","","","string {[]} {[]}
","Resultatkod: OK, ERROR eller INFO","OK = operationen genomförd utan fel
ERROR = Fel vid operationen
INFO = Information finns om operationen
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processcareencounter-response.resultCode",1,1,"",""
"processcareencounter-response","processcareencounter-response.comment","processcareencounter-response.comment","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av fel eller information om genomförd operation","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processcareencounter-response.comment",0,1,"",""
"processlaboratoryreport-request","processlaboratoryreport-request","processlaboratoryreport-request","","","",0,*,"","","","null {[]} {[]}
","ProcessLaboratoryReport — Request","Logisk modell för requestparametrar i tjänstekontraktet ProcessLaboratoryReport
(RIV-TA urn:riv:followup:processdevelopment:infections:ProcessLaboratoryReport:1).
Registrerar ett nytt laboratoriesvar med tillhörande information om patient,
beställande enhet, provtagningstidpunkt och agensförekomst.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"processlaboratoryreport-request","processlaboratoryreport-request.orgUnitId","processlaboratoryreport-request.orgUnitId","","","",1,1,"","","","Identifier {[]} {[]}
","Beställande enhet (HSA-id)","Informationsspecifikation: Laboratoriesvar.har beställande.Enhet.enhets-id
OID för HSA-id: 1.2.752.129.2.1.4.1
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.orgUnitId",1,1,"",""
"processlaboratoryreport-request","processlaboratoryreport-request.reportId","processlaboratoryreport-request.reportId","","","",1,1,"","","","Identifier {[]} {[]}
","Laboratoriesvars-id","Informationsspecifikation: Laboratoriesvar.laboratoriesvars-id
Nationell OID för lokala ID:n: 1.2.752.129.2.1.2.1
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.reportId",1,1,"",""
"processlaboratoryreport-request","processlaboratoryreport-request.testTime","processlaboratoryreport-request.testTime","","","",1,1,"","","","string {[]} {[]}
","Provtagningstidpunkt (YYYYMMDDhhmmss)","Informationsspecifikation: Provtagning.provtagningstidpunkt
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.testTime",1,1,"",""
"processlaboratoryreport-request","processlaboratoryreport-request.observationTime","processlaboratoryreport-request.observationTime","","","",1,1,"","","","string {[]} {[]}
","Observationstidpunkt (YYYYMMDDhhmmss)","Informationsspecifikation: Mikrobiologiskt fynd.observationstidpunkt
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.observationTime",1,1,"",""
"processlaboratoryreport-request","processlaboratoryreport-request.findingCode","processlaboratoryreport-request.findingCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Agenskod för mikrobiologiskt fynd","Informationsspecifikation: Mikrobiologiskt fynd.agenskod
Kodverk: NPU
Möjliga koder: ATCC09689 (Clostridium difficile)
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.findingCode",1,1,"",""
"processlaboratoryreport-request","processlaboratoryreport-request.patient","processlaboratoryreport-request.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patientuppgifter","Informationsspecifikation: Patient
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processlaboratoryreport-request","processlaboratoryreport-request.patient.id","processlaboratoryreport-request.patient.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processlaboratoryreport-request","processlaboratoryreport-request.patient.extension","processlaboratoryreport-request.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processlaboratoryreport-request","processlaboratoryreport-request.patient.modifierExtension","processlaboratoryreport-request.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processlaboratoryreport-request","processlaboratoryreport-request.patient.patientId","processlaboratoryreport-request.patient.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientens identifierare","Patientens identifierare","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.patient.patientId",1,1,"",""
"processlaboratoryreport-request","processlaboratoryreport-request.patient.birthTime","processlaboratoryreport-request.patient.birthTime","","","",1,1,"","","","date {[]} {[]}
","Patientens födelseår","Patientens födelseår","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.patient.birthTime",1,1,"",""
"processlaboratoryreport-request","processlaboratoryreport-request.patient.gender","processlaboratoryreport-request.patient.gender","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Patientens kön","Kodverk KV Kön, OID: 1.2.752.129.2.2.1.1","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-request.patient.gender",1,1,"",""
"processlaboratoryreport-response","processlaboratoryreport-response","processlaboratoryreport-response","","","",0,*,"","","","null {[]} {[]}
","ProcessLaboratoryReport — Response","Logisk modell för responsen från tjänstekontraktet ProcessLaboratoryReport
(RIV-TA urn:riv:followup:processdevelopment:infections:ProcessLaboratoryReport:1).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"processlaboratoryreport-response","processlaboratoryreport-response.resultCode","processlaboratoryreport-response.resultCode","","","",1,1,"","","","string {[]} {[]}
","Resultatkod: OK, ERROR eller INFO","OK = operationen genomförd utan fel
ERROR = Fel vid operationen
INFO = Information finns om operationen
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-response.resultCode",1,1,"",""
"processlaboratoryreport-response","processlaboratoryreport-response.comment","processlaboratoryreport-response.comment","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av fel eller information om genomförd operation","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processlaboratoryreport-response.comment",0,1,"",""
"processprescriptionreason-request","processprescriptionreason-request","processprescriptionreason-request","","","",0,*,"","","","null {[]} {[]}
","ProcessPrescriptionReason — Request","Logisk modell för requestparametrar i tjänstekontraktet ProcessPrescriptionReason
(RIV-TA urn:riv:followup:processdevelopment:infections:ProcessPrescriptionReason:1).
Registrerar en ordinationsorsak med information om patient, organisatorisk enhet,
eventuellt aktivitet, ordination och ordinerad substans.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"processprescriptionreason-request","processprescriptionreason-request.prescriptionTime","processprescriptionreason-request.prescriptionTime","","","",0,1,"","","","string {[]} {[]}
","Tidpunkt då registreringen av ordinationsorsaken gjordes (YYYYMMDDhhmmss)","Tidpunkt i formatet YYYYMMDDhhmmss.
I de fall en ordination finns anges här, i annat fall lämnas fältet tomt.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.prescriptionTime",0,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.substanceCode","processprescriptionreason-request.substanceCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Läkemedelssubstans som är del av en läkemedelsordination","Hanterar information kring en läkemedelssubstans.
Kodverk: ATC. OID: 1.2.752.129.2.2.3.1.1
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.substanceCode",1,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.prescriptionCareUnitId","processprescriptionreason-request.prescriptionCareUnitId","","","",1,1,"","","","Identifier {[]} {[]}
","Medicinskt ansvarig för ordinationsmoment (HSA-id)","OID för HSA-id: 1.2.752.129.2.1.4.1
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.prescriptionCareUnitId",1,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.prescriptionLocationId","processprescriptionreason-request.prescriptionLocationId","","","",0,1,"","","","Identifier {[]} {[]}
","Registreringsenhet för ordinationsmoment (HSA-id)","OID för HSA-id: 1.2.752.129.2.1.4.1
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.prescriptionLocationId",0,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.prescriptionReasonCareUnitId","processprescriptionreason-request.prescriptionReasonCareUnitId","","","",1,1,"","","","Identifier {[]} {[]}
","Medicinskt ansvarig för ordinationsorsak (HSA-id)","OID för HSA-id: 1.2.752.129.2.1.4.1
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.prescriptionReasonCareUnitId",1,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.prescriptionReasonLocationId","processprescriptionreason-request.prescriptionReasonLocationId","","","",0,1,"","","","Identifier {[]} {[]}
","Registreringsenhet för ordinationsorsak (HSA-id)","OID för HSA-id: 1.2.752.129.2.1.4.1
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.prescriptionReasonLocationId",0,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.conditionId","processprescriptionreason-request.conditionId","","","",0,1,"","","","Identifier {[]} {[]}
","Id för patientens diagnos","Nationell OID för lokala ID:n: 1.2.752.129.2.1.2.1
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.conditionId",0,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.conditionCode","processprescriptionreason-request.conditionCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Kod och klartext för patientens diagnos","Kodverk: SnomedCT, IV Annan, KSH97
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.conditionCode",0,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.source","processprescriptionreason-request.source","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Kod och klartext som anger hur infektionen uppstått","Anger om det är samhälls- eller vårdförvärvad infektion eller ej infektion (vid förebyggande profylax).
Kodverk: IV Smittväg
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.source",0,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.activityCode","processprescriptionreason-request.activityCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Information om en aktivitet som är relevant att registrera","Kodverk: KVÅ, SnomedCT, IV Annan
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.activityCode",1,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.activityId","processprescriptionreason-request.activityId","","","",1,1,"","","","Identifier {[]} {[]}
","Unik identifierare för aktivitet","Nationell OID för lokala ID:n: 1.2.752.129.2.1.2.1.
OBSERVERA: attributet har olika betydelse beroende på om mallen för Activity (profylax)
eller Condition (infektion) används.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.activityId",1,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.patient","processprescriptionreason-request.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patientuppgifter","Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"processprescriptionreason-request","processprescriptionreason-request.patient.id","processprescriptionreason-request.patient.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.patient.extension","processprescriptionreason-request.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processprescriptionreason-request","processprescriptionreason-request.patient.modifierExtension","processprescriptionreason-request.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"processprescriptionreason-request","processprescriptionreason-request.patient.patientId","processprescriptionreason-request.patient.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientens identifierare","Patientens identifierare","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.patient.patientId",1,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.patient.birthTime","processprescriptionreason-request.patient.birthTime","","","",1,1,"","","","date {[]} {[]}
","Patientens födelseår (ÅÅÅÅMMDD, ÅÅÅÅMM eller ÅÅÅÅ)","Patientens födelseår (ÅÅÅÅMMDD, ÅÅÅÅMM eller ÅÅÅÅ)","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.patient.birthTime",1,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.patient.gender","processprescriptionreason-request.patient.gender","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Patientens kön","Kodverk KV Kön, OID: 1.2.752.129.2.2.1.1
0 = not known, 1 = male, 2 = female, 9 = not applicable","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.patient.gender",1,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.prescriptionId","processprescriptionreason-request.prescriptionId","","","",1,1,"","","","Identifier {[]} {[]}
","Unik identifierare för ordinationen","Nationell OID för lokala ID:n: 1.2.752.129.2.1.2.1
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.prescriptionId",1,1,"",""
"processprescriptionreason-request","processprescriptionreason-request.prescriptionReasonTime","processprescriptionreason-request.prescriptionReasonTime","","","",0,1,"","","","string {[]} {[]}
","Tidpunkt för ordinationen (YYYYMMDDhhmmss)","Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"processprescriptionreason-request.prescriptionReasonTime",0,1,"",""
