"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"aterkallasamtyckevardsystem-request","aterkallasamtyckevardsystem-request","aterkallasamtyckevardsystem-request","","","",0,*,"","","","null {[]} {[]}
","AterkallaSamtyckeVardsystem — Request","Logisk modell för begäran i AterkallaSamtyckeVardsystem
(urn:riv:se.apotekensservice:lf:AterkallaSamtyckeVardsystemResponder:1, AterkallaSamtyckeVardsystemRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.antalForpackningar","laslfvardsystem.lakemedelsforteckning.antalForpackningar","","","",0,1,"","","","integer {[]} {[]}
","antalForpackningar","Antal förpackningar av utlämnad vara. Obligatorisk parameter om posten ej är en dosdispenserad artikel","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.antalForpackningar",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.antalPillerKlartext","laslfvardsystem.lakemedelsforteckning.antalPillerKlartext","","","",0,1,"","","","string {[]} {[]}
","antalPillerKlartext","Summa antal avdelade doser inklusive enhet. Angiven om posten är en dosdispenserad artikel.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.antalPillerKlartext",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation","laslfvardsystem.lakemedelsforteckning.artikelinformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","artikelinformation","Information om expedierad artikel.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.id","laslfvardsystem.lakemedelsforteckning.artikelinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.extension","laslfvardsystem.lakemedelsforteckning.artikelinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.modifierExtension","laslfvardsystem.lakemedelsforteckning.artikelinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.antalEnhet","laslfvardsystem.lakemedelsforteckning.artikelinformation.antalEnhet","","","",0,1,"","","","string {[]} {[]}
","antalEnhet","Antalets enhet. Exempelvis 'styck' eller 'milliliter'.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.antalEnhet",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.antalIForpackning","laslfvardsystem.lakemedelsforteckning.artikelinformation.antalIForpackning","","","",0,1,"","","","decimal {[]} {[]}
","antalIForpackning","Antal i förpackning. Numerisk angivelse, exempelvis '0,72'.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.antalIForpackning",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.antalYtterstaForpackning","laslfvardsystem.lakemedelsforteckning.artikelinformation.antalYtterstaForpackning","","","",0,1,"","","","integer {[]} {[]}
","antalYtterstaForpackning","Antal multipel 2. Antal yttersta förpackningar för artikeln, exempelvis '6'.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.antalYtterstaForpackning",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.antalYttreForpackning","laslfvardsystem.lakemedelsforteckning.artikelinformation.antalYttreForpackning","","","",0,1,"","","","integer {[]} {[]}
","antalYttreForpackning","Antal multipel 1. Antal yttre förpackningar som varan har, exempelvis '5'.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.antalYttreForpackning",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.atckod","laslfvardsystem.lakemedelsforteckning.artikelinformation.atckod","","","",0,1,"","","","string {[]} {[]}
","atckod","ATC-kod vid inläsningstillfället.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.atckod",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.atckodKlartext","laslfvardsystem.lakemedelsforteckning.artikelinformation.atckodKlartext","","","",0,1,"","","","string {[]} {[]}
","atckodKlartext","Verksamt ämne vid inläsningstillfället.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.atckodKlartext",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.forpackningsstorlek","laslfvardsystem.lakemedelsforteckning.artikelinformation.forpackningsstorlek","","","",0,1,"","","","string {[]} {[]}
","forpackningsstorlek","Förpackningsstorlek vid inläsningstillfället, exempelvis '6x5x0,72 milliliter'. Ej angivet för dosdispenserade artiklar.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.forpackningsstorlek",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.forpackningstyp","laslfvardsystem.lakemedelsforteckning.artikelinformation.forpackningstyp","","","",0,1,"","","","string {[]} {[]}
","forpackningstyp","Beskrivning av artikelns förpackningstyp vid inläsningstillfället.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.forpackningstyp",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.intressent","laslfvardsystem.lakemedelsforteckning.artikelinformation.intressent","","","",0,1,"","","","string {[]} {[]}
","intressent","Ansvarig intressent för artikeln. Värde kan hämtas från olika fält i VARA beroende på artikel. Exempelvis parallellimportör.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.intressent",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.lakemedelsform","laslfvardsystem.lakemedelsforteckning.artikelinformation.lakemedelsform","","","",0,1,"","","","string {[]} {[]}
","lakemedelsform","Läkemedelsform vid inläsningstillfället.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.lakemedelsform",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.lakemedelsformKod","laslfvardsystem.lakemedelsforteckning.artikelinformation.lakemedelsformKod","","","",0,1,"","","","string {[]} {[]}
","lakemedelsformKod","Kod för läkemedelsform (beredningsformkod).","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.lakemedelsformKod",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.nplPackid","laslfvardsystem.lakemedelsforteckning.artikelinformation.nplPackid","","","",1,1,"","","","string {[]} {[]}
","nplPackid","Identitet på förskrivet läkemedel som har NPL Pack-id alternativt SB Pack-id.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.nplPackid",1,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.produktnamn","laslfvardsystem.lakemedelsforteckning.artikelinformation.produktnamn","","","",0,1,"","","","string {[]} {[]}
","produktnamn","Läkemedelsnamn vid inläsningstillfället.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.produktnamn",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.styrka","laslfvardsystem.lakemedelsforteckning.artikelinformation.styrka","","","",0,1,"","","","decimal {[]} {[]}
","styrka","Numerisk styrka, exempelvis '20.0'.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.styrka",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.styrkaEnhet","laslfvardsystem.lakemedelsforteckning.artikelinformation.styrkaEnhet","","","",0,1,"","","","string {[]} {[]}
","styrkaEnhet","Styrkans enhet, exempelvis 'mg'.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.styrkaEnhet",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.artikelinformation.styrkaKlartext","laslfvardsystem.lakemedelsforteckning.artikelinformation.styrkaKlartext","","","",0,1,"","","","string {[]} {[]}
","styrkaKlartext","Styrka i klartext vid inläsningstillfället.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.artikelinformation.styrkaKlartext",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.borttagen","laslfvardsystem.lakemedelsforteckning.borttagen","","","",1,1,"","","","boolean {[]} {[]}
","borttagen","Markering om posten är borttagen. Sant om posten är borttagen, annars falskt.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.borttagen",1,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.borttagsdatum","laslfvardsystem.lakemedelsforteckning.borttagsdatum","","","",0,1,"","","","dateTime {[]} {[]}
","borttagsdatum","Datum då posten blev markerad som borttagen. Endast angiven om borttagen är sant.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.borttagsdatum",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.borttagsorsak","laslfvardsystem.lakemedelsforteckning.borttagsorsak","","","",0,1,"","","","string {[]} {[]}
","borttagsorsak","Kommentar för borttagen post. Endast angiven om borttagen är sant.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.borttagsorsak",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.borttagstyp","laslfvardsystem.lakemedelsforteckning.borttagstyp","","","",0,1,"","","","string {[]} {[]}
","borttagstyp","Typ av borttag som gäller för posten. Endast angiven om borttagen är sant. Möjliga värden är: Synlig, Begränsad synlighet","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.borttagstyp",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.borttagstypHeltal","laslfvardsystem.lakemedelsforteckning.borttagstypHeltal","","","",0,1,"","","","integer {[]} {[]}
","borttagstypHeltal","Typ av borttag som gäller för posten. Endast angiven om borttagen är sant. Möjliga värden är: 0 - Synlig, 1 - Begränsad synlighet","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.borttagstypHeltal",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.doseringstext","laslfvardsystem.lakemedelsforteckning.doseringstext","","","",1,1,"","","","string {[]} {[]}
","doseringstext","Doseringsanvisning.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.doseringstext",1,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.expeditionsId","laslfvardsystem.lakemedelsforteckning.expeditionsId","","","",0,1,"","","","string {[]} {[]}
","expeditionsId","ExpeditionsId","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.expeditionsId",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.expeditionsdatum","laslfvardsystem.lakemedelsforteckning.expeditionsdatum","","","",1,1,"","","","dateTime {[]} {[]}
","expeditionsdatum","Datum för expedition på apotek.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.expeditionsdatum",1,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.forskrivararbetsplatsnamn","laslfvardsystem.lakemedelsforteckning.forskrivararbetsplatsnamn","","","",0,1,"","","","string {[]} {[]}
","forskrivararbetsplatsnamn","Förskrivarens arbetsplatsnamn","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.forskrivararbetsplatsnamn",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.forskrivararbetsplatsort","laslfvardsystem.lakemedelsforteckning.forskrivararbetsplatsort","","","",0,1,"","","","string {[]} {[]}
","forskrivararbetsplatsort","Förskrivarens arbetsplatsort","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.forskrivararbetsplatsort",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.forskrivarnamn","laslfvardsystem.lakemedelsforteckning.forskrivarnamn","","","",0,1,"","","","string {[]} {[]}
","forskrivarnamn","Förskrivarens namn","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.forskrivarnamn",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.forskrivarpostadress","laslfvardsystem.lakemedelsforteckning.forskrivarpostadress","","","",0,1,"","","","string {[]} {[]}
","forskrivarpostadress","Förskrivarens postadress","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.forskrivarpostadress",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.forskrivarpostnummer","laslfvardsystem.lakemedelsforteckning.forskrivarpostnummer","","","",0,1,"","","","string {[]} {[]}
","forskrivarpostnummer","Förskrivarens postnummer","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.forskrivarpostnummer",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.forskrivarspecialiteter","laslfvardsystem.lakemedelsforteckning.forskrivarspecialiteter","","","",0,*,"","","","string {[]} {[]}
","forskrivarspecialiteter","Förskrivarens specialitet i klartext","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.forskrivarspecialiteter",0,*,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.forskrivaryrke","laslfvardsystem.lakemedelsforteckning.forskrivaryrke","","","",0,1,"","","","string {[]} {[]}
","forskrivaryrke","Förskrivarens yrke i klartext","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.forskrivaryrke",0,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.mangd","laslfvardsystem.lakemedelsforteckning.mangd","","","",1,1,"","","","string {[]} {[]}
","mangd","Mängd","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.mangd",1,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.radid","laslfvardsystem.lakemedelsforteckning.radid","","","",1,1,"","","","string {[]} {[]}
","radid","Unikt id för posten i läkemedelsförteckningen. (xs:long i schemat.)","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.radid",1,1,"",""
"laslfvardsystem","laslfvardsystem.lakemedelsforteckning.radnummer","laslfvardsystem.lakemedelsforteckning.radnummer","","","",0,1,"","","","integer {[]} {[]}
","radnummer","Radnummer för expedierad vara i aktuell expedition. Obligatorisk som indata dock ej som utdata.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.lakemedelsforteckning.radnummer",0,1,"",""
"laslfvardsystem","laslfvardsystem.patient","laslfvardsystem.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","patient","Information om patienten vars läkemedelsförteckning man hämtat. Om patienten är markerad som Avliden så returneras ej läkemedelsförteckning.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"laslfvardsystem","laslfvardsystem.patient.id","laslfvardsystem.patient.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"laslfvardsystem","laslfvardsystem.patient.extension","laslfvardsystem.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem","laslfvardsystem.patient.modifierExtension","laslfvardsystem.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"laslfvardsystem","laslfvardsystem.patient.avliden","laslfvardsystem.patient.avliden","","","",1,1,"","","","boolean {[]} {[]}
","avliden","Anger om patienten är markerad som avliden i FOLK. Sant om personen är markerad som avliden, annars falskt.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.patient.avliden",1,1,"",""
"laslfvardsystem","laslfvardsystem.patient.efternamn","laslfvardsystem.patient.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Patientens efternamn som registrerat i FOLK.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.patient.efternamn",0,1,"",""
"laslfvardsystem","laslfvardsystem.patient.fornamn","laslfvardsystem.patient.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Patientens förnamn som registrerat i FOLK.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.patient.fornamn",0,1,"",""
"laslfvardsystem","laslfvardsystem.patient.personnummer","laslfvardsystem.patient.personnummer","","","",0,1,"","","","string {[]} {[]}
","personnummer","Patientens personnummer.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.patient.personnummer",0,1,"",""
"laslfvardsystem","laslfvardsystem.varningsnivaUppnadd","laslfvardsystem.varningsnivaUppnadd","","","",1,1,"","","","boolean {[]} {[]}
","varningsnivaUppnadd","Flagga som anger om förskrivarens antal läsningar det senaste dygnet överskridit varningsnivå. Sant om varningsnivå har uppnåtts, annars falskt.","","","","","","","","","",,,,,"",,,,"laslfvardsystem.varningsnivaUppnadd",1,1,"",""
"laslfvardsystem","laslfvardsystem.avPatientSparradePosterArBorttagna","laslfvardsystem.avPatientSparradePosterArBorttagna","","","",1,1,"","","","boolean {[]} {[]}
","avPatientSparradePosterArBorttagna","Markering som anger om poster plockats bort ur resultatet pga att patienten spärrat dessa, dvs det finns poster som är spärrade och därför inte är med i resultatet. (Refererat element ur LasLFVardsystemResponder_4.1_ext.xsd, namnrymd urn:riv:se.apotekensservice:lf:LasLFVardsystemResponder:4.1.)","","","","","","","","","",,,,,"",,,,"laslfvardsystem.avPatientSparradePosterArBorttagna",1,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request","","","",0,*,"","","","null {[]} {[]}
","RegistreraSamtyckeVardsystem — Request","Logisk modell för begäran i RegistreraSamtyckeVardsystem
(urn:riv:se.apotekensservice:lf:RegistreraSamtyckeVardsystemResponder:1, RegistreraSamtyckeVardsystemRequestType), inklusive SOAP-huvuden enligt WSDL.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.logicalAddress","registrerasamtyckevardsystem-request.logicalAddress","","","",1,1,"","","","string {[]} {[]}
","logicalAddress","SOAP-huvud LogicalAddress. Orgnr of Apotekens Service AB","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.logicalAddress",1,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader","registrerasamtyckevardsystem-request.argosHeader","","","",1,1,"","","","BackboneElement {[]} {[]}
","argosHeader","SOAP-huvud ArgosHeader. Argos header of Apotekens Service AB. Check documentation regarding mandatory fields for this specific service interaction","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.id","registrerasamtyckevardsystem-request.argosHeader.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.extension","registrerasamtyckevardsystem-request.argosHeader.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.modifierExtension","registrerasamtyckevardsystem-request.argosHeader.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.forskrivarkod","registrerasamtyckevardsystem-request.argosHeader.forskrivarkod","","","",0,1,"","","","string {[]} {[]}
","forskrivarkod","forskrivarkod","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.forskrivarkod",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.legitimationskod","registrerasamtyckevardsystem-request.argosHeader.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","legitimationskod","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.legitimationskod",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.fornamn","registrerasamtyckevardsystem-request.argosHeader.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","fornamn","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.fornamn",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.efternamn","registrerasamtyckevardsystem-request.argosHeader.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","efternamn","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.efternamn",0,1,"",""
"registrerasamtyckevardsystem-request","registrerasamtyckevardsystem-request.argosHeader.yrkesgrupp","registrerasamtyckevardsystem-request.argosHeader.yrkesgrupp","","","",0,1,"","","","string {[]} {[]}
","yrkesgrupp","yrkesgrupp","","","","","","","","","",,,,,"",,,,"registrerasamtyckevardsystem-request.argosHeader.yrkesgrupp",0,1,"",""
