"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cancelbooking-request","cancelbooking-request","cancelbooking-request","","","",0,*,"","","","null {[]} {[]}
","CancelBooking — Request","Logisk modell för requestparametrar i CancelBooking.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getavailabledates-request","getavailabledates-request.timeTypeName","getavailabledates-request.timeTypeName","","","",0,1,"","","","string {[]} {[]}
","Namn på tidstyp","Namn på tidstyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabledates-request.timeTypeName",0,1,"",""
"getavailabledates-request","getavailabledates-request.timeTypeID","getavailabledates-request.timeTypeID","","","",0,1,"","","","string {[]} {[]}
","Identifierare för tidstyp","Identifierare för tidstyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabledates-request.timeTypeID",0,1,"",""
"getavailabledates-request","getavailabledates-request.careTypeName","getavailabledates-request.careTypeName","","","",0,1,"","","","string {[]} {[]}
","Namn på vårdtyp","Namn på vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabledates-request.careTypeName",0,1,"",""
"getavailabledates-request","getavailabledates-request.careTypeID","getavailabledates-request.careTypeID","","","",0,1,"","","","string {[]} {[]}
","Identitet för vårdtyp","Identitet för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabledates-request.careTypeID",0,1,"",""
"getavailabledates-request","getavailabledates-request.subject-of-care","getavailabledates-request.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabledates-request.subject_of_care",1,1,"",""
"getavailabledates","getavailabledates","getavailabledates","","","",0,*,"","","","null {[]} {[]}
","GetAvailableDates","Logisk modell för tjänstekontraktet GetAvailableDates
(RIV-TA urn:riv:crm:scheduling:GetAvailableDates:1).
Representerar responsens informationsstruktur.
Tjänsten hämtar datum med lediga tider för angivet datumintervall.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getavailabledates","getavailabledates.performerAvailabilityByDate","getavailabledates.performerAvailabilityByDate","","","",0,*,"","","","BackboneElement {[]} {[]}
","Lista med tillgängliga tider per datum","Lista med tillgängliga tider (PerformerAvailabilityByDateType).
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getavailabledates.performerAvailabilityByDate",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getavailabledates","getavailabledates.performerAvailabilityByDate.id","getavailabledates.performerAvailabilityByDate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getavailabledates","getavailabledates.performerAvailabilityByDate.extension","getavailabledates.performerAvailabilityByDate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getavailabledates","getavailabledates.performerAvailabilityByDate.modifierExtension","getavailabledates.performerAvailabilityByDate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getavailabledates","getavailabledates.performerAvailabilityByDate.healthcare-facility","getavailabledates.performerAvailabilityByDate.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabledates.performerAvailabilityByDate.healthcare_facility",1,1,"",""
"getavailabledates","getavailabledates.performerAvailabilityByDate.performer","getavailabledates.performerAvailabilityByDate.performer","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id för HoS-personal","HSA-id för HoS-personal.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabledates.performerAvailabilityByDate.performer",0,1,"",""
"getavailabledates","getavailabledates.performerAvailabilityByDate.date","getavailabledates.performerAvailabilityByDate.date","","","",1,1,"","","","string {[]} {[]}
","Datum där lediga tider finns (ÅÅÅÅMMDD)","Ett datum där lediga tider finns, på formatet ÅÅÅÅMMDD.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabledates.performerAvailabilityByDate.date",1,1,"",""
"getavailabledates","getavailabledates.performerAvailabilityByDate.resourceName","getavailabledates.performerAvailabilityByDate.resourceName","","","",0,1,"","","","string {[]} {[]}
","Namn på resurs","Namn på resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabledates.performerAvailabilityByDate.resourceName",0,1,"",""
"getavailabledates","getavailabledates.performerAvailabilityByDate.resourceID","getavailabledates.performerAvailabilityByDate.resourceID","","","",0,1,"","","","string {[]} {[]}
","Identifierare för resurs","Identifierare för resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabledates.performerAvailabilityByDate.resourceID",0,1,"",""
"getavailabledates","getavailabledates.performerAvailabilityByDate.timeTypeName","getavailabledates.performerAvailabilityByDate.timeTypeName","","","",0,1,"","","","string {[]} {[]}
","Namn på tidstyp","Namn på tidstyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabledates.performerAvailabilityByDate.timeTypeName",0,1,"",""
"getavailabledates","getavailabledates.performerAvailabilityByDate.timeTypeID","getavailabledates.performerAvailabilityByDate.timeTypeID","","","",0,1,"","","","string {[]} {[]}
","Identifierare för tidstyp","Identifierare för tidstyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabledates.performerAvailabilityByDate.timeTypeID",0,1,"",""
"getavailabledates","getavailabledates.performerAvailabilityByDate.careTypeName","getavailabledates.performerAvailabilityByDate.careTypeName","","","",0,1,"","","","string {[]} {[]}
","Namn på vårdtyp","Namn på vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabledates.performerAvailabilityByDate.careTypeName",0,1,"",""
"getavailabletimeslots-request","getavailabletimeslots-request","getavailabletimeslots-request","","","",0,*,"","","","null {[]} {[]}
","GetAvailableTimeslots — Request","Logisk modell för requestparametrar i GetAvailableTimeslots.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getavailabletimeslots-request","getavailabletimeslots-request.healthcare-facility","getavailabletimeslots-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","Hsa-ID för mottagning/vårdenhet","Hsa-ID för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots-request.healthcare_facility",1,1,"",""
"getavailabletimeslots-request","getavailabletimeslots-request.bookingId","getavailabletimeslots-request.bookingId","","","",0,1,"","","","string {[]} {[]}
","Intern bokningsidentitet","Intern bokningsidentitet. Används för att indikera ombokning.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots-request.bookingId",0,1,"",""
"getavailabletimeslots-request","getavailabletimeslots-request.startDateInclusive","getavailabletimeslots-request.startDateInclusive","","","",1,1,"","","","string {[]} {[]}
","Datum från och med (ÅÅÅÅMMDD)","Datum från och med, på formatet ÅÅÅÅMMDD.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots-request.startDateInclusive",1,1,"",""
"getavailabletimeslots-request","getavailabletimeslots-request.endDateInclusive","getavailabletimeslots-request.endDateInclusive","","","",1,1,"","","","string {[]} {[]}
","Datum till och med (ÅÅÅÅMMDD)","Datum till och med, på formatet ÅÅÅÅMMDD.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots-request.endDateInclusive",1,1,"",""
"getavailabletimeslots-request","getavailabletimeslots-request.performer","getavailabletimeslots-request.performer","","","",0,*,"","","","Identifier {[]} {[]}
","HSA-id för HoS-personal","HSA-id för HoS-personal.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots-request.performer",0,*,"",""
"getavailabletimeslots-request","getavailabletimeslots-request.timeTypeName","getavailabletimeslots-request.timeTypeName","","","",0,1,"","","","string {[]} {[]}
","Namn på tidstyp","Namn på tidstyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots-request.timeTypeName",0,1,"",""
"getavailabletimeslots-request","getavailabletimeslots-request.timeTypeID","getavailabletimeslots-request.timeTypeID","","","",0,1,"","","","string {[]} {[]}
","Identifierare för tidstyp","Identifierare för tidstyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots-request.timeTypeID",0,1,"",""
"getavailabletimeslots-request","getavailabletimeslots-request.careTypeName","getavailabletimeslots-request.careTypeName","","","",0,1,"","","","string {[]} {[]}
","Namn på vårdtyp","Namn på vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots-request.careTypeName",0,1,"",""
"getavailabletimeslots-request","getavailabletimeslots-request.careTypeID","getavailabletimeslots-request.careTypeID","","","",0,1,"","","","string {[]} {[]}
","Identifierare för vårdtyp","Identifierare för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots-request.careTypeID",0,1,"",""
"getavailabletimeslots-request","getavailabletimeslots-request.subject-of-care","getavailabletimeslots-request.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots-request.subject_of_care",1,1,"",""
"getavailabletimeslots","getavailabletimeslots","getavailabletimeslots","","","",0,*,"","","","null {[]} {[]}
","GetAvailableTimeslots","Logisk modell för tjänstekontraktet GetAvailableTimeslots
(RIV-TA urn:riv:crm:scheduling:GetAvailableTimeslots:1).
Representerar responsens informationsstruktur.
Tjänsten hämtar lediga tider för angivet datumintervall.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail","getavailabletimeslots.timeslotDetail","","","",0,*,"","","","BackboneElement {[]} {[]}
","Lista med tillgängliga tider (TimeslotType)","Lista med tillgängliga tider.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.id","getavailabletimeslots.timeslotDetail.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.extension","getavailabletimeslots.timeslotDetail.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.modifierExtension","getavailabletimeslots.timeslotDetail.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.startTimeInclusive","getavailabletimeslots.timeslotDetail.startTimeInclusive","","","",1,1,"","","","string {[]} {[]}
","Startdatum och klockslag (ÅÅÅÅMMDDttmmss)","Startdatum och klockslag för bokad tid, på formatet ÅÅÅÅMMDDttmmss.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.startTimeInclusive",1,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.endTimeExclusive","getavailabletimeslots.timeslotDetail.endTimeExclusive","","","",1,1,"","","","string {[]} {[]}
","Slutdatum och klockslag (ÅÅÅÅMMDDttmmss)","Slutdatum och klockslag för bokad tid, på formatet ÅÅÅÅMMDDttmmss.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.endTimeExclusive",1,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.healthcare-facility","getavailabletimeslots.timeslotDetail.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.healthcare_facility",1,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.performer","getavailabletimeslots.timeslotDetail.performer","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id för Hos-person","HSA-id för Hos-person som besöket är bokat hos.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.performer",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.bookingId","getavailabletimeslots.timeslotDetail.bookingId","","","",0,1,"","","","string {[]} {[]}
","Bokningsidentitet","Bokningsidentitet för det bokade besöket.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.bookingId",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.purpose","getavailabletimeslots.timeslotDetail.purpose","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av besöksorsak angiven av vårdenhet","Beskrivning av besöksorsak angiven av vårdenhet.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.purpose",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.reason","getavailabletimeslots.timeslotDetail.reason","","","",0,1,"","","","string {[]} {[]}
","Kontaktorsak som invånare uppger vid bokning","Kontaktorsak som invånare uppger vid bokning.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.reason",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.resourceName","getavailabletimeslots.timeslotDetail.resourceName","","","",0,1,"","","","string {[]} {[]}
","Namn på resurs","Namn på resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.resourceName",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.healthcare-facility-name","getavailabletimeslots.timeslotDetail.healthcare_facility_name","","","",0,1,"","","","string {[]} {[]}
","Namn på bokad mottagning/vårdenhet","Namn på bokad mottagning/vårdenhet.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.healthcare_facility_name",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.performerName","getavailabletimeslots.timeslotDetail.performerName","","","",0,1,"","","","string {[]} {[]}
","Namn på HoS-person","Namn på HoS-person som besöket är bokat hos.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.performerName",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.resourceID","getavailabletimeslots.timeslotDetail.resourceID","","","",0,1,"","","","string {[]} {[]}
","Identifierare för resurs","Identifierare för resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.resourceID",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.timeTypeName","getavailabletimeslots.timeslotDetail.timeTypeName","","","",0,1,"","","","string {[]} {[]}
","Tidstyp för det bokade besöket","Tidstyp för det bokade besöket.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.timeTypeName",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.timeTypeID","getavailabletimeslots.timeslotDetail.timeTypeID","","","",0,1,"","","","string {[]} {[]}
","Identifierare för tidstyp","Identifierare för tidstyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.timeTypeID",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.careTypeName","getavailabletimeslots.timeslotDetail.careTypeName","","","",0,1,"","","","string {[]} {[]}
","Klartext för vårdtyp","Klartext för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.careTypeName",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.careTypeID","getavailabletimeslots.timeslotDetail.careTypeID","","","",0,1,"","","","string {[]} {[]}
","Identifierare för vårdtyp","Identifierare för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.careTypeID",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.cancel-booking-allowed","getavailabletimeslots.timeslotDetail.cancel_booking_allowed","","","",0,1,"","","","boolean {[]} {[]}
","Om bokningen kan avbokas","Sätts av producenten. Anger om bokningen kan avbokas.
Avbokning är inte tillåten om värdet saknas eller är false.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.cancel_booking_allowed",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.rebooking-allowed","getavailabletimeslots.timeslotDetail.rebooking_allowed","","","",0,1,"","","","boolean {[]} {[]}
","Om bokningen kan ombokas","Sätts av producenten. Anger om bokningen kan ombokas.
Ombokning är inte tillåten om värdet saknas eller är false.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.rebooking_allowed",0,1,"",""
"getavailabletimeslots","getavailabletimeslots.timeslotDetail.message-allowed","getavailabletimeslots.timeslotDetail.message_allowed","","","",0,1,"","","","boolean {[]} {[]}
","Om orsak till av/ombokning kan skickas","Sätts av producenten. Anger om orsak till av- eller ombokning kan skickas med i berörda tjänster.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getavailabletimeslots.timeslotDetail.message_allowed",0,1,"",""
"getbookingdetails-request","getbookingdetails-request","getbookingdetails-request","","","",0,*,"","","","null {[]} {[]}
","GetBookingDetails — Request","Logisk modell för requestparametrar i GetBookingDetails.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getbookingdetails-request","getbookingdetails-request.healthcare-facility","getbookingdetails-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getbookingdetails-request.healthcare_facility",1,1,"",""
"getbookingdetails-request","getbookingdetails-request.bookingId","getbookingdetails-request.bookingId","","","",1,1,"","","","string {[]} {[]}
","Intern bokningsidentitet","Intern bokningsidentitet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getbookingdetails-request.bookingId",1,1,"",""
"getbookingdetails","getbookingdetails","getbookingdetails","","","",0,*,"","","","null {[]} {[]}
","GetBookingDetails","Logisk modell för tjänstekontraktet GetBookingDetails
(RIV-TA urn:riv:crm:scheduling:GetBookingDetails:1).
Representerar responsens informationsstruktur.
Tjänsten hämtar detaljinformation för en befintlig bokning vid en vårdenhet.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getbookingdetails","getbookingdetails.timeslotDetail","getbookingdetails.timeslotDetail","","","",1,1,"","","","BackboneElement {[]} {[]}
","Information om den aktuella tiden (TimeslotType)","Information om den aktuella bokade/kallade tiden.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail",1,1,"","getbookingdetails-purpose-required:purpose ska anges om isInvitation är true (kallelse) {isInvitation = true implies purpose.exists()}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}"
"getbookingdetails","getbookingdetails.timeslotDetail.id","getbookingdetails.timeslotDetail.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.extension","getbookingdetails.timeslotDetail.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getbookingdetails","getbookingdetails.timeslotDetail.modifierExtension","getbookingdetails.timeslotDetail.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getbookingdetails","getbookingdetails.timeslotDetail.startTimeInclusive","getbookingdetails.timeslotDetail.startTimeInclusive","","","",0,1,"","","","string {[]} {[]}
","Startdatum och klockslag (ÅÅÅÅMMDDttmmss)","Startdatum och klockslag. Kan saknas för öppen kallelse.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.startTimeInclusive",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.endTimeExclusive","getbookingdetails.timeslotDetail.endTimeExclusive","","","",0,1,"","","","string {[]} {[]}
","Slutdatum och klockslag (ÅÅÅÅMMDDttmmss)","Slutdatum och klockslag. Kan saknas för öppen kallelse.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.endTimeExclusive",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.healthcare-facility","getbookingdetails.timeslotDetail.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.healthcare_facility",1,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.performer","getbookingdetails.timeslotDetail.performer","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id för Hos-person","HSA-id för Hos-person som besöket är bokat hos.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.performer",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.bookingId","getbookingdetails.timeslotDetail.bookingId","","","",0,1,"","","","string {[]} {[]}
","Bokningsidentitet","Bokningsidentitet för det bokade besöket.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.bookingId",0,1,"",""
